codigo,descripcion_original,descripcion_borroni
>BHG2NC140200Z,BULON HEXAGONAL G2 9/16-UNC-8 ZINC,
>BHG2NC140228Z,BULON HEXAGONAL G2 9/16-UNC-9 ZINC,
>BHG2NC140254Z,BULON HEXAGONAL G2 9/16-UNC-10 ZINC,
>BHG2NC160025Z,BULON HEXAGONAL G2 5/8-UNC-1 ZINC,
>BHG2NC160032Z,"BULON HEXAGONAL G2 5/8-UNC-1,1/4 ZINC",
>BHG2NC160038Z,"BULON HEXAGONAL G2 5/8-UNC-1,1/2 ZINC",
>BHG2NC160044Z,"BULON HEXAGONAL G2 5/8-UNC-1,3/4 ZINC",
>BHG2NC160050Z,BULON HEXAGONAL G2 5/8-UNC-2 ZINC,
>BHG2NC160056Z,"BULON HEXAGONAL G2 5/8-UNC-2,1/4 ZINC",
>BHG2NC160063Z,"BULON HEXAGONAL G2 5/8-UNC-2,1/2 ZINC",
>BHG2NC160070Z,"BULON HEXAGONAL G2 5/8-UNC-2,3/4 ZINC",
>BHG2NC160076Z,BULON HEXAGONAL G2 5/8-UNC-3 ZINC,
>BHG2NC160082Z,"BULON HEXAGONAL G2 5/8-UNC-3,1/4 ZINC",
>BHG2NC160090Z,"BULON HEXAGONAL G2 5/8-UNC-3,1/2 ZINC",
>BHG2NC160100Z,BULON HEXAGONAL G2 5/8-UNC-4 ZINC,
>BHG2NC160110Z,"BULON HEXAGONAL G2 5/8-UNC-4,1/2 ZINC",
>BHG2NC160125Z,BULON HEXAGONAL G2 5/8-UNC-5 ZINC,
>BHG2NC160140Z,"BULON HEXAGONAL G2 5/8-UNC-5,1/2 ZINC",
>BHG2NC160155Z,BULON HEXAGONAL G2 5/8-UNC-6 ZINC,
>BHG2NC160175Z,BULON HEXAGONAL G2 5/8-UNC-7 ZINC,
>BHG2NC160200Z,BULON HEXAGONAL G2 5/8-UNC-8 ZINC,
>BHG2NC160228Z,BULON HEXAGONAL G2 5/8-UNC-9 ZINC,
>BHG2NC160254Z,BULON HEXAGONAL G2 5/8-UNC-10 ZINC,
>BHG2NC190025Z,BULON HEXAGONAL G2 3/4-UNC-1 ZINC,
>BHG2NC190032Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/4 ZINC",
>BHG2NC190038Z,"BULON HEXAGONAL G2 3/4-UNC-1,1/2 ZINC",
>BHG2NC190044Z,"BULON HEXAGONAL G2 3/4-UNC-1,3/4 ZINC",
>BHG2NC190050Z,BULON HEXAGONAL G2 3/4-UNC-2 ZINC,
>BHG2NC190056Z,"BULON HEXAGONAL G2 3/4-UNC-2,1/4 ZINC",
>BHG2NC190063Z,"BULON HEXAGONAL G2 3/4-UNC-2,1/2 ZINC",
>BHG2NC190070Z,"BULON HEXAGONAL G2 3/4-UNC-2,3/4 ZINC",
>BHG2NC190076Z,BULON HEXAGONAL G2 3/4-UNC-3 ZINC,
>BHG2NC190082Z,"BULON HEXAGONAL G2 3/4-UNC-3,1/4 ZINC",
>BHG2NC190090Z,"BULON HEXAGONAL G2 3/4-UNC-3,1/2 ZINC",
>BHG2NC190096Z,"BULON HEXAGONAL G2 3/4-UNC-3,3/4 ZINC",
>BHG2NC190100Z,BULON HEXAGONAL G2 3/4-UNC-4 ZINC,
>BHG2NC190110Z,"BULON HEXAGONAL G2 3/4-UNC-4,1/2 ZINC",
>BHG2NC190125Z,BULON HEXAGONAL G2 3/4-UNC-5 ZINC,
>BHG2NC190140Z,"BULON HEXAGONAL G2 3/4-UNC-5,1/2 ZINC",
>BHG2NC190155Z,BULON HEXAGONAL G2 3/4-UNC-6 ZINC,
>BHG2NC190175Z,BULON HEXAGONAL G2 3/4-UNC-7 ZINC,
>BHG2NC190200Z,BULON HEXAGONAL G2 3/4-UNC-8 ZINC,
>BHG2NC190228Z,BULON HEXAGONAL G2 3/4-UNC-9 ZINC,
>BHG2NC190254Z,BULON HEXAGONAL G2 3/4-UNC-10 ZINC,
>BHG2NC220044Z,"BULON HEXAGONAL G2 7/8-UNC-1,3/4 ZINC",
>BHG2NC220050Z,BULON HEXAGONAL G2 7/8-UNC-2 ZINC,
>BHG2NC220056Z,"BULON HEXAGONAL G2 7/8-UNC-2,1/4 ZINC",
>BHG2NC220063Z,"BULON HEXAGONAL G2 7/8-UNC-2,1/2 ZINC",
>BHG2NC220070Z,"BULON HEXAGONAL G2 7/8-UNC-2,3/4 ZINC",
>BHG2NC220076Z,BULON HEXAGONAL G2 7/8-UNC-3 ZINC,
>BHG2NC220082Z,"BULON HEXAGONAL G2 7/8-UNC-3,1/4 ZINC",
>BHG2NC220090Z,"BULON HEXAGONAL G2 7/8-UNC-3,1/2 ZINC",
>BHG2NC220096Z,"BULON HEXAGONAL G2 7/8-UNC-3,3/4 ZINC",
>BHG2NC220100Z,BULON HEXAGONAL G2 7/8-UNC-4 ZINC,
>BHG2NC220110Z,"BULON HEXAGONAL G2 7/8-UNC-4,1/2 ZINC",
>BHG2NC220125Z,BULON HEXAGONAL G2 7/8-UNC-5 ZINC,
>BHG2NC220140Z,"BULON HEXAGONAL G2 7/8-UNC-5,1/2 ZINC",
>BHG2NC220155Z,BULON HEXAGONAL G2 7/8-UNC-6 ZINC,
>BHG2NC220175Z,BULON HEXAGONAL G2 7/8-UNC-7 ZINC,
>BHG2NC220200Z,BULON HEXAGONAL G2 7/8-UNC-8 ZINC,
>BHG2NC220228Z,BULON HEXAGONAL G2 7/8-UNC-9 ZINC,
>BHG2NC220254Z,BULON HEXAGONAL G2 7/8-UNC-10 ZINC,
>BHG2NC250050Z,BULON HEXAGONAL G2 1-UNC-2 ZINC,
>BHG2NC250056Z,"BULON HEXAGONAL G2 1-UNC-2,1/4 ZINC",
>BHG2NC250063Z,"BULON HEXAGONAL G2 1-UNC-2,1/2 ZINC",
>BHG2NC250070Z,"BULON HEXAGONAL G2 1-UNC-2,3/4 ZINC",
>BHG2NC250076Z,BULON HEXAGONAL G2 1-UNC-3 ZINC,
>BHG2NC250082Z,"BULON HEXAGONAL G2 1-UNC-3,1/4 ZINC",
>BHG2NC250090Z,"BULON HEXAGONAL G2 1-UNC-3,1/2 ZINC",
>BHG2NC250100Z,BULON HEXAGONAL G2 1-UNC-4 ZINC,
>BHG2NC250110Z,"BULON HEXAGONAL G2 1-UNC-4,1/2 ZINC",
>BHG2NC250125Z,BULON HEXAGONAL G2 1-UNC-5 ZINC,
>BHG2NC250140Z,"BULON HEXAGONAL G2 1-UNC-5,1/2 ZINC",
>BHG2NC250155Z,BULON HEXAGONAL G2 1-UNC-6 ZINC,
>BHG2NC250175Z,BULON HEXAGONAL G2 1-UNC-7 ZINC,
>BHG2NC250200Z,BULON HEXAGONAL G2 1-UNC-8 ZINC,
>BHG2NC250228Z,BULON HEXAGONAL G2 1-UNC-9 ZINC,
>BHG2NC250254Z,BULON HEXAGONAL G2 1-UNC-10 ZINC,
>BHG5MA04010D,"BULON HEXAGONAL (8.8) M4-0,7-10 DICRO",
>BHG5MA04012D,"BULON HEXAGONAL (8.8) M4-0,7-12 DICRO",
>BHG5MA04016D,"BULON HEXAGONAL (8.8) M4-0,7-16 DICRO",
>BHG5MA04020D,"BULON HEXAGONAL (8.8) M4-0,7-20 DICRO",
>BHG5MA04025D,"BULON HEXAGONAL (8.8) M4-0,7-25 DICRO",
>BHG5MA04030D,"BULON HEXAGONAL (8.8) M4-0,7-30 DICRO",
>BHG5MA04035D,"BULON HEXAGONAL (8.8) M4-0,7-35 DICRO",
>BHG5MA04040D,"BULON HEXAGONAL (8.8) M4-0,7-40 DICRO",
>BHG5MA04045D,"BULON HEXAGONAL (8.8) M4-0,7-45 DICRO",
>BHG5MA05010D,"BULON HEXAGONAL (8.8) M5-0,8-10 DICRO",
>BHG5MA05012D,"BULON HEXAGONAL (8.8) M5-0,8-12 DICRO",
>BHG5MA05016D,"BULON HEXAGONAL (8.8) M5-0,8-16 DICRO",
>BHG5MA05020D,"BULON HEXAGONAL (8.8) M5-0,8-20 DICRO",
>BHG5MA05025D,"BULON HEXAGONAL (8.8) M5-0,8-25 DICRO",
>BHG5MA05030D,"BULON HEXAGONAL (8.8) M5-0,8-30 DICRO",
>BHG5MA05035D,"BULON HEXAGONAL (8.8) M5-0,8-35 DICRO",
>BHG5MA05040D,"BULON HEXAGONAL (8.8) M5-0,8-40 DICRO",
>BHG5MA05045D,"BULON HEXAGONAL (8.8) M5-0,8-45 DICRO",
>BHG5MA05050D,"BULON HEXAGONAL (8.8) M5-0,8-50 DICRO",
>BHG5MA06010D,BULON HEXAGONAL (8.8) M6-1-10 DICRO,
>BHG5MA06012D,BULON HEXAGONAL (8.8) M6-1-12 DICRO,
>BHG5MA06016D,BULON HEXAGONAL (8.8) M6-1-16 DICRO,
>BHG5MA06020D,BULON HEXAGONAL (8.8) M6-1-20 DICRO,
>BHG5MA06025D,BULON HEXAGONAL (8.8) M6-1-25 DICRO,
>BHG5MA06030D,BULON HEXAGONAL (8.8) M6-1-30 DICRO,
>BHG5MA06035D,BULON HEXAGONAL (8.8) M6-1-35 DICRO,
>BHG5MA06040D,BULON HEXAGONAL (8.8) M6-1-40 DICRO,
>BHG5MA06045D,BULON HEXAGONAL (8.8) M6-1-45 DICRO,
>BHG5MA06050D,BULON HEXAGONAL (8.8) M6-1-50 DICRO,
>BHG5MA06055D,BULON HEXAGONAL (8.8) M6-1-55 DICRO,
>BHG5MA06060D,BULON HEXAGONAL (8.8) M6-1-60 DICRO,
>BHG5MA06065D,BULON HEXAGONAL (8.8) M6-1-65 DICRO,
>BHG5MA06070D,BULON HEXAGONAL (8.8) M6-1-70 DICRO,
>BHG5MA06080D,BULON HEXAGONAL (8.8) M6-1-80 DICRO,
>BHG5MA06090D,BULON HEXAGONAL (8.8) M6-1-90 DICRO,
>BHG5MA07010D,BULON HEXAGONAL (8.8) M7-1-10 DICRO,
>BHG5MA07012D,BULON HEXAGONAL (8.8) M7-1-12 DICRO,
>BHG5MA07016D,BULON HEXAGONAL (8.8) M7-1-16 DICRO,
>BHG5MA07020D,BULON HEXAGONAL (8.8) M7-1-20 DICRO,
>BHG5MA07025D,BULON HEXAGONAL (8.8) M7-1-25 DICRO,
>BHG5MA07030D,BULON HEXAGONAL (8.8) M7-1-30 DICRO,
>BHG5MA07035D,BULON HEXAGONAL (8.8) M7-1-35 DICRO,
>BHG5MA07040D,BULON HEXAGONAL (8.8) M7-1-40 DICRO,
>BHG5MA07045D,BULON HEXAGONAL (8.8) M7-1-45 DICRO,
>BHG5MA07050D,BULON HEXAGONAL (8.8) M7-1-50 DICRO,
>BHG5MA07055D,BULON HEXAGONAL (8.8) M7-1-55 DICRO,
>BHG5MA07060D,BULON HEXAGONAL (8.8) M7-1-60 DICRO,
>BHG5MA07065D,BULON HEXAGONAL (8.8) M7-1-65 DICRO,
>BHG5MA07070D,BULON HEXAGONAL (8.8) M7-1-70 DICRO,
>BHG5MA08010D,"BULON HEXAGONAL (8.8) M8-1,25-10 DICRO",
>BHG5MA08012D,"BULON HEXAGONAL (8.8) M8-1,25-12 DICRO",
>BHG5MA08016D,"BULON HEXAGONAL (8.8) M8-1,25-16 DICRO",
>BHG5MA08020D,"BULON HEXAGONAL (8.8) M8-1,25-20 DICRO",
>BHG5MA08025D,"BULON HEXAGONAL (8.8) M8-1,25-25 DICRO",
>BHG5MA08030D,"BULON HEXAGONAL (8.8) M8-1,25-30 DICRO",
>BHG5MA08035D,"BULON HEXAGONAL (8.8) M8-1,25-35 DICRO",
>BHG5MA08040D,"BULON HEXAGONAL (8.8) M8-1,25-40 DICRO",
>BHG5MA08045D,"BULON HEXAGONAL (8.8) M8-1,25-45 DICRO",
>BHG5MA08050D,"BULON HEXAGONAL (8.8) M8-1,25-50 DICRO",
>BHG5MA08055D,"BULON HEXAGONAL (8.8) M8-1,25-55 DICRO",
>BHG5MA08060D,"BULON HEXAGONAL (8.8) M8-1,25-60 DICRO",
>BHG5MA08065D,"BULON HEXAGONAL (8.8) M8-1,25-65 DICRO",
>BHG5MA08070D,"BULON HEXAGONAL (8.8) M8-1,25-70 DICRO",
>BHG5MA08075D,"BULON HEXAGONAL (8.8) M8-1,25-75 DICRO",
>BHG5MA08080D,"BULON HEXAGONAL (8.8) M8-1,25-80 DICRO",
>BHG5MA08085D,"BULON HEXAGONAL (8.8) M8-1,25-85 DICRO",
>BHG5MA08090D,"BULON HEXAGONAL (8.8) M8-1,25-90 DICRO",
>BHG5MA08095D,"BULON HEXAGONAL (8.8) M8-1,25-95 DICRO",
>BHG5MA08100D,"BULON HEXAGONAL (8.8) M8-1,25-100 DICRO",
>BHG5MA08105D,"BULON HEXAGONAL (8.8) M8-1,25-105 DICRO",
>BHG5MA08110D,"BULON HEXAGONAL (8.8) M8-1,25-110 DICRO",
>BHG5MA08120D,"BULON HEXAGONAL (8.8) M8-1,25-120 DICRO",
>BHG5MA08130D,"BULON HEXAGONAL (8.8) M8-1,25-130 DICRO",
>BHG5MA08140D,"BULON HEXAGONAL (8.8) M8-1,25-140 DICRO",
>BHG5MA08150D,"BULON HEXAGONAL (8.8) M8-1,25-150 DICRO",
>BHG5MA10016D,"BULON HEXAGONAL (8.8) M10-1,50-16 DICRO",
>BHG5MA10020D,"BULON HEXAGONAL (8.8) M10-1,50-20 DICRO",
>BHG5MA10025D,"BULON HEXAGONAL (8.8) M10-1,50-25 DICRO",
>BHG5MA10030D,"BULON HEXAGONAL (8.8) M10-1,50-30 DICRO",
>BHG5MA10035D,"BULON HEXAGONAL (8.8) M10-1,50-35 DICRO",
>BHG5MA10040D,"BULON HEXAGONAL (8.8) M10-1,50-40 DICRO",
>BHG5MA10045D,"BULON HEXAGONAL (8.8) M10-1,50-45 DICRO",
>BHG5MA10050D,"BULON HEXAGONAL (8.8) m10-1,50-50 DICRO",
>BHG5MA10055D,"BULON HEXAGONAL (8.8) M10-1,50-55 DICRO",
>BHG5MA10060D,"BULON HEXAGONAL (8.8) M10-1,50-60 DICRO",
>BHG5MA10065D,"BULON HEXAGONAL (8.8) M10-1,50-65 DICRO",
>BHG5MA10070D,"BULON HEXAGONAL (8.8) M10-1,50-70 DICRO",
>BHG5MA10075D,"BULON HEXAGONAL (8.8) M10-1,50-75 DICRO",
>BHG5MA10080D,"BULON HEXAGONAL (8.8) M10-1,50-80 DICRO",
>BHG5MA10085D,"BULON HEXAGONAL (8.8) M10-1,50-85 DICRO",
>BHG5MA10090D,"BULON HEXAGONAL (8.8) M10-1,50-90 DICRO",
>BHG5MA10095D,"BULON HEXAGONAL (8.8) M10-1,50-95 DICRO",
>BHG5MA10100D,"BULON HEXAGONAL (8.8) M10-1,50-100 DICRO",
>BHG5MA10105D,"BULON HEXAGONAL (8.8) M10-1,50-105 DICRO",
>BHG5MA10110D,"BULON HEXAGONAL (8.8) M10-1,50-110 DICRO",
>BHG5MA10120D,"BULON HEXAGONAL (8.8) M10-1,50-120 DICRO",
>BHG5MA10130D,"BULON HEXAGONAL (8.8) M10-1,50-130 DICRO",
>BHG5MA10140D,"BULON HEXAGONAL (8.8) M10-1,50-140 DICRO",
>BHG5MA10150D,"BULON HEXAGONAL (8.8) M10-1,50-150 DICRO",
>BHG5MA10160D,"BULON HEXAGONAL (8.8) M10-1,50-160 DICRO",
>BHG5MA10170D,"BULON HEXAGONAL (8.8) M10-1,50-170 DICRO",
>BHG5MA12020D,"BULON HEXAGONAL (8.8) M12-1,75-20 DICRO",
>BHG5MA12025D,"BULON HEXAGONAL (8.8) M12-1,75-25 DICRO",
>BHG5MA12030D,"BULON HEXAGONAL (8.8) M12-1,75-30 DICRO",
>BHG5MA12035D,"BULON HEXAGONAL (8.8) M12-1,75-35 DICRO",
>BHG5MA12040D,"BULON HEXAGONAL (8.8) M12-1,75-40 DICRO",
>BHG5MA12045D,"BULON HEXAGONAL (8.8) M12-1,75-45 DICRO",
>BHG5MA12050D,"BULON HEXAGONAL (8.8) M12-1,75-50 DICRO",
>BHG5MA12055D,"BULON HEXAGONAL (8.8) M12-1,75-55 DICRO",
>BHG5MA12060D,"BULON HEXAGONAL (8.8) M12-1,75-60 DICRO",
>BHG5MA12065D,"BULON HEXAGONAL (8.8) M12-1,75-65 DICRO",
>BHG5MA12070D,"BULON HEXAGONAL (8.8) M12-1,75-70 DICRO",
>BHG5MA12075D,"BULON HEXAGONAL (8.8) M12-1,75-75 DICRO",
>BHG5MA12080D,"BULON HEXAGONAL (8.8) M12-1,75-80 DICRO",
>BHG5MA12090D,"BULON HEXAGONAL (8.8) M12-1,75-90 DICRO",
>BHG5MA12095D,"BULON HEXAGONAL (8.8) M12-1,75-95 DICRO",
>BHG5MA12100D,"BULON HEXAGONAL (8.8) M12-1,75-100 DICRO",
>BHG5MA12110D,"BULON HEXAGONAL (8.8) M12-1,75-110 DICRO",
>BHG5MA12120D,"BULON HEXAGONAL (8.8) M12-1,75-120 DICRO",
>BHG5MA12130D,"BULON HEXAGONAL (8.8) M12-1,75-130 DICRO",
>BHG5MA12140D,"BULON HEXAGONAL (8.8) M12-1,75-140 DICRO",
>BHG5MA12150D,"BULON HEXAGONAL (8.8) M12-1,75-150 DICRO",
>BHG5MA12160D,"BULON HEXAGONAL (8.8) M12-1,75-160 DICRO",
>BHG5MA12170D,"BULON HEXAGONAL (8.8) M12-1,75-170 DICRO",
>BHG5MA12180D,"BULON HEXAGONAL (8.8) M12-1,75-180 DICRO",
>BHG5MA12190D,"BULON HEXAGONAL (8.8) M12-1,75-190 DICRO",
>BHG5MA12200D,"BULON HEXAGONAL (8.8) M12-1,75-200 DICRO",
>BHG5MA14025D,BULON HEXAGONAL (8.8) M14-2-25 DICRO,
>BHG5MA14030D,BULON HEXAGONAL (8.8) M14-2-30 DICRO,
>BHG5MA14035D,BULON HEXAGONAL (8.8) M14-2-35 DICRO,
>BHG5MA14040D,BULON HEXAGONAL (8.8) M14-2-40 DICRO,
>BHG5MA14045D,BULON HEXAGONAL (8.8) M14-2-45 DICRO,
>BHG5MA14050D,BULON HEXAGONAL (8.8) M14-2-50 DICRO,
>BHG5MA14055D,BULON HEXAGONAL (8.8) M14-2-55 DICRO,
>BHG5MA14060D,BULON HEXAGONAL (8.8) M14-2-60 DICRO,
>BHG5MA14065D,BULON HEXAGONAL (8.8) M14-2-65 DICRO,
>BHG5MA14070D,BULON HEXAGONAL (8.8) M14-2-70 DICRO,
>BHG5MA14075D,BULON HEXAGONAL (8.8) M14-2-75 DICRO,
>BHG5MA14080D,BULON HEXAGONAL (8.8) M14-2-80 DICRO,
>BHG5MA14090D,BULON HEXAGONAL (8.8) M14-2-90 DICRO,
>BHG5MA14095D,BULON HEXAGONAL (8.8) M14-2-95 DICRO,
>BHG5MA14100D,BULON HEXAGONAL (8.8) M14-2-100 DICRO,
>BHG5MA14110D,BULON HEXAGONAL (8.8) M14-2-110 DICRO,
>BHG5MA14120D,BULON HEXAGONAL (8.8) M14-2-120 DICRO,
>BHG5MA14130D,BULON HEXAGONAL (8.8) M14-2-130 DICRO,
>BHG5MA14140D,BULON HEXAGONAL (8.8) M14-2-140 DICRO,
>BHG5MA14150D,BULON HEXAGONAL (8.8) M14-2-150 DICRO,
>BHG5MA16025D,BULON HEXAGONAL (8.8) M16-2-25 DICRO,
>BHG5MA16030D,BULON HEXAGONAL (8.8) M16-2-30 DICRO,
>BHG5MA16035D,BULON HEXAGONAL (8.8) M16-2-35 DICRO,
>BHG5MA16040D,BULON HEXAGONAL (8.8) M16-2-40 DICRO,
>BHG5MA16045D,BULON HEXAGONAL (8.8) M16-2-45 DICRO,
>BHG5MA16050D,BULON HEXAGONAL (8.8) M16-2-50 DICRO,
>BHG5MA16055D,BULON HEXAGONAL (8.8) M16-2-55 DICRO,
>BHG5MA16060D,BULON HEXAGONAL (8.8) M16-2-60 DICRO,
>BHG5MA16065D,BULON HEXAGONAL (8.8) M16-2-65 DICRO,
>BHG5MA16070D,BULON HEXAGONAL (8.8) M16-2-70 DICRO,
>BHG5MA16075D,BULON HEXAGONAL (8.8) M16-2-75 DICRO,
>BHG5MA16080D,BULON HEXAGONAL (8.8) M16-2-80 DICRO,
>BHG5MA16085D,BULON HEXAGONAL (8.8) M16-2-85 DICRO,
>BHG5MA16090D,BULON HEXAGONAL (8.8) M16-2-90 DICRO,
>BHG5MA16100D,BULON HEXAGONAL (8.8) M16-2-100 DICRO,
>BHG5MA16110D,BULON HEXAGONAL (8.8) M16-2-110 DICRO,
>BHG5MA16120D,BULON HEXAGONAL (8.8) M16-2-120 DICRO,
>BHG5MA16130D,BULON HEXAGONAL (8.8) M16-2-130 DICRO,
>BHG5MA16140D,BULON HEXAGONAL (8.8) M16-2-140 DICRO,
>BHG5MA16150D,BULON HEXAGONAL (8.8) M16-2-150 DICRO,
>BHG5MA16160D,BULON HEXAGONAL (8.8) M16-2-160 DICRO,
>BHG5MA16170D,BULON HEXAGONAL (8.8) M16-2-170 DICRO,
>BHG5MA16180D,BULON HEXAGONAL (8.8) M16-2-180 DICRO,
>BHG5MA16190D,BULON HEXAGONAL (8.8) M16-2-190 DICRO,
>BHG5MA16200D,BULON HEXAGONAL (8.8) M16-2-200 DICRO,
>BHG5MA18030D,"BULON HEXAGONAL (8.8) M18-2,5-30 DICRO",
>BHG5MA18035D,"BULON HEXAGONAL (8.8) M18-2,5-35 DICRO",
>BHG5MA18040D,"BULON HEXAGONAL (8.8) M18-2,5-40 DICRO",
>BHG5MA18045D,"BULON HEXAGONAL (8.8) M18-2,5-45 DICRO",
>BHG5MA18050D,"BULON HEXAGONAL (8.8) M18-2,5-50 DICRO",
>BHG5MA18055D,"BULON HEXAGONAL (8.8) M18-2,5-55 DICRO",
>BHG5MA18060D,"BULON HEXAGONAL (8.8) M18-2,5-60 DICRO",
>BHG5MA18065D,"BULON HEXAGONAL (8.8) M18-2,5-65 DICRO",
>BHG5MA18070D,"BULON HEXAGONAL (8.8) M18-2,5-70 DICRO",
>BHG5MA18075D,"BULON HEXAGONAL (8.8) M18-2,5-75 DICRO",
>BHG5MA18080D,"BULON HEXAGONAL (8.8) M18-2,5-80 DICRO",
>BHG5MA18085D,"BULON HEXAGONAL (8.8) M18-2,5-85 DICRO",
>BHG5MA18090D,"BULON HEXAGONAL (8.8) M18-2,5-90 DICRO",
>BHG5MA18100D,"BULON HEXAGONAL (8.8) M18-2,5-100 DICRO",
>BHG5MA18110D,"BULON HEXAGONAL (8.8) M18-2,5-110 DICRO",
>BHG5MA18120D,"BULON HEXAGONAL (8.8) M18-2,5-120 DICRO",
>BHG5MA18130D,"BULON HEXAGONAL (8.8) M18-2,5-130 DICRO",
>BHG5MA18140D,"BULON HEXAGONAL (8.8) M18-2,5-140 DICRO",
>BHG5MA18150D,"BULON HEXAGONAL (8.8) M18-2,5-150 DICRO",
>BHG5MA18160D,"BULON HEXAGONAL (8.8) M18-2,5-160 DICRO",
>BHG5MA18170D,"BULON HEXAGONAL (8.8) M18-2,5-170 DICRO",
>BHG5MA18180D,"BULON HEXAGONAL (8.8) M18-2,5-180 DICRO",
>BHG5MA18190D,"BULON HEXAGONAL (8.8) M18-2,5-190 DICRO",
>BHG5MA18200D,"BULON HEXAGONAL (8.8) M18-2,5-200 DICRO",
>BHG5MA20030D,"BULON HEXAGONAL (8.8) M20-2,5-30 DICRO",
>BHG5MA20035D,"BULON HEXAGONAL (8.8) M20-2,5-35 DICRO",
>BHG5MA20040D,"BULON HEXAGONAL (8.8) M20-2,5-40 DICRO",
>BHG5MA20045D,"BULON HEXAGONAL (8.8) M20-2,5-45 DICRO",
>BHG5MA20050D,"BULON HEXAGONAL (8.8) M20-2,5-50 DICRO",
>BHG5MA20055D,"BULON HEXAGONAL (8.8) M20-2,5-55 DICRO",
>BHG5MA20060D,"BULON HEXAGONAL (8.8) M20-2,5-60 DICRO",
>BHG5MA20065D,"BULON HEXAGONAL (8.8) M20-2,5-65 DICRO",
>BHG5MA20070D,"BULON HEXAGONAL (8.8) M20-2,5-70 DICRO",
>BHG5MA20075D,"BULON HEXAGONAL (8.8) M20-2,5-75 DICRO",
>BHG5MA20080D,"BULON HEXAGONAL (8.8) M20-2,5-80 DICRO",
>BHG5MA20085D,"BULON HEXAGONAL (8.8) M20-2,5-85 DICRO",
>BHG5MA20090D,"BULON HEXAGONAL (8.8) M20-2,5-90 DICRO",
>BHG5MA20100D,"BULON HEXAGONAL (8.8) M20-2,5-100 DICRO",
>BHG5MA20110D,"BULON HEXAGONAL (8.8) M20-2,5-110 DICRO",
>BHG5MA20120D,"BULON HEXAGONAL (8.8) M20-2,5-120 DICRO",
>BHG5MA20130D,"BULON HEXAGONAL (8.8) M20-2,5-130 DICRO",
>BHG5MA20140D,"BULON HEXAGONAL (8.8) M20-2,5-140 DICRO",
>BHG5MA20150D,"BULON HEXAGONAL (8.8) M20-2,5-150 DICRO",
>BHG5MA20160D,"BULON HEXAGONAL (8.8) M20-2,5-160 DICRO",
>BHG5MA20170D,"BULON HEXAGONAL (8.8) M20-2,5-170 DICRO",
>BHG5MA20180D,"BULON HEXAGONAL (8.8) M20-2,5-180 DICRO",
>BHG5MA20190D,"BULON HEXAGONAL (8.8) M20-2,5-190 DICRO",
>BHG5MA20200D,"BULON HEXAGONAL (8.8) M20-2,5-200 DICRO",
>BHG5MA22070D,"BULON HEXAGONAL (8.8) M22-2,5-70 DICRO",
>BHG5MA22080D,"BULON HEXAGONAL (8.8) M22-2,5-80 DICRO",
>BHG5MA22090D,"BULON HEXAGONAL (8.8) M22-2,5-90 DICRO",
>BHG5MA22100D,"BULON HEXAGONAL (8.8) M22-2,5-100 DICRO",
>BHG5MA22110D,"BULON HEXAGONAL (8.8) M22-2,5-110 DICRO",
>BHG5MA22120D,"BULON HEXAGONAL (8.8) M22-2,5-120 DICRO",
>BHG5MA22130D,"BULON HEXAGONAL (8.8) M22-2,5-130 DICRO",
>BHG5MA22140D,"BULON HEXAGONAL (8.8) M22-2,5-140 DICRO",
>BHG5MA22150D,"BULON HEXAGONAL (8.8) M22-2,5-150 DICRO",
>BHG5MA22160D,"BULON HEXAGONAL (8.8) M22-2,5-160 DICRO",
>BHG5MA22170D,"BULON HEXAGONAL (8.8) M22-2,5-170 DICRO",
>BHG5MA22180D,"BULON HEXAGONAL (8.8) M22-2,5-180 DICRO",
>BHG5MA22190D,"BULON HEXAGONAL (8.8) M22-2,5-190 DICRO",
>BHG5MA22200D,"BULON HEXAGONAL (8.8) M22-2,5-200 DICRO",
>BHG5MA24050D,BULON HEXAGONAL (8.8) M24-3-50 DICRO,
>BHG5MA24055D,BULON HEXAGONAL (8.8) M24-3-55 DICRO,
>BHG5MA24060D,BULON HEXAGONAL (8.8) M24-3-60 DICRO,
>BHG5MA24065D,BULON HEXAGONAL (8.8) M24-3-65 DICRO,
>BHG5MA24070D,BULON HEXAGONAL (8.8) M24-3-70 DICRO,
>BHG5MA24075D,BULON HEXAGONAL (8.8) M24-3-75 DICRO,
>BHG5MA24080D,BULON HEXAGONAL (8.8) M24-3-80 DICRO,
>BHG5MA24090D,BULON HEXAGONAL (8.8) M24-3-90 DICRO,
>BHG5MA24100D,BULON HEXAGONAL (8.8) M24-3-100 DICRO,
>BHG5MA24110D,BULON HEXAGONAL (8.8) M24-3-110 DICRO,
>BHG5MA24120D,BULON HEXAGONAL (8.8) M24-3-120 DICRO,
>BHG5MA24130D,BULON HEXAGONAL (8.8) M24-3-130 DICRO,
>BHG5MA24140D,BULON HEXAGONAL (8.8) M24-3-140 DICRO,
>BHG5MA24150D,BULON HEXAGONAL (8.8) M24-3-150 DICRO,
>BHG5MA24160D,BULON HEXAGONAL (8.8) M24-3-160 DICRO,
>BHG5MA24170D,BULON HEXAGONAL (8.8) M24-3-170 DICRO,
>BHG5MA24180D,BULON HEXAGONAL (8.8) M24-3-180 DICRO,
